IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
6,10.215.173.1,42346,35.186.224.28,443,10304,Spotify,com.spotify.music,HTTPS,Błąd,gew4-spclient.spotify.com,1183,3709,11,6,2025-08-23T17:54:52.640+02:00,2025-08-23T17:54:52.781+02:00
6,10.215.173.1,42358,35.186.224.28,443,10304,Spotify,com.spotify.music,HTTPS,Błąd,gew4-spclient.spotify.com,1143,3789,10,8,2025-08-23T17:54:52.669+02:00,2025-08-23T17:54:52.791+02:00
17,10.215.173.1,22710,10.215.173.2,53,10062,Meta Services,com.facebook.services,DNS,Zamknij,z-m-gateway.facebook.com,70,114,1,1,2025-08-23T17:55:01.190+02:00,2025-08-23T17:55:01.211+02:00
6,10.215.173.1,54986,185.60.217.40,443,10062,Meta Services,com.facebook.services,HTTPS,Błąd,z-m-gateway.facebook.com,2865,4283,17,12,2025-08-23T17:55:01.222+02:00,2025-08-23T17:56:56.651+02:00
6,10.215.173.1,50804,142.250.147.188,5228,10238,Usługi Google Play,com.google.android.gms,TLS,Zamknij,mtalk.google.com,1523,2863,11,11,2025-08-23T17:55:01.552+02:00,2025-08-23T17:56:05.346+02:00
17,10.215.173.1,7805,10.215.173.2,53,10254,Gmail,com.google.android.gm,DNS,Zamknij,taskassist-pa.googleapis.com,148,436,2,2,2025-08-23T17:55:04.097+02:00,2025-08-23T17:55:08.056+02:00
17,10.215.173.1,60563,10.215.173.2,53,10254,Gmail,com.google.android.gm,DNS,Zamknij,inbox.google.com,124,156,2,2,2025-08-23T17:55:04.103+02:00,2025-08-23T17:55:08.149+02:00
6,10.215.173.1,48572,142.250.203.202,443,10254,Gmail,com.google.android.gm,HTTPS,Zamknij,taskassist-pa.googleapis.com,3468,6630,15,13,2025-08-23T17:55:07.620+02:00,2025-08-23T17:55:23.557+02:00
6,10.215.173.1,58040,216.58.209.5,443,10254,Gmail,com.google.android.gm,HTTPS,Zamknij,inbox.google.com,6158,14039,20,18,2025-08-23T17:55:07.672+02:00,2025-08-23T17:55:23.558+02:00
17,10.215.173.1,3764,10.215.173.2,53,10248,Samsung Accessory Service,com.samsung.accessory,DNS,Zamknij,gear.sca.samsung.com,66,132,1,1,2025-08-23T17:55:11.279+02:00,2025-08-23T17:55:11.305+02:00
6,10.215.173.1,46980,54.76.143.8,443,10248,Samsung Accessory Service,com.samsung.accessory,HTTPS,Zamknij,gear.sca.samsung.com,1327,7229,10,10,2025-08-23T17:55:11.329+02:00,2025-08-23T17:55:11.635+02:00
6,10.215.173.1,46870,18.203.124.33,9090,10248,Samsung Accessory Service,com.samsung.accessory,TCP,Zamknij,,780,768,4,4,2025-08-23T17:55:11.596+02:00,2025-08-23T17:56:15.618+02:00
6,10.215.173.1,46146,142.250.147.188,5228,10238,Usługi Google Play,com.google.android.gms,TLS,Błąd,mtalk.google.com,1552,2043,10,10,2025-08-23T17:56:13.395+02:00,2025-08-23T17:56:56.651+02:00
17,10.215.173.1,7273,10.215.173.2,53,10248,Samsung Accessory Service,com.samsung.accessory,DNS,Zamknij,gear.sca.samsung.com,66,132,1,1,2025-08-23T17:56:16.855+02:00,2025-08-23T17:56:16.872+02:00
6,10.215.173.1,56704,54.76.143.8,443,10248,Samsung Accessory Service,com.samsung.accessory,HTTPS,Zamknij,gear.sca.samsung.com,1327,7229,10,10,2025-08-23T17:56:16.877+02:00,2025-08-23T17:56:17.187+02:00
6,10.215.173.1,42798,18.203.124.33,9090,10248,Samsung Accessory Service,com.samsung.accessory,TCP,Błąd,,780,768,4,4,2025-08-23T17:56:17.140+02:00,2025-08-23T17:56:56.651+02:00
17,10.215.173.1,40724,10.215.173.2,53,10238,Usługi Google Play,com.google.android.gms,DNS,Nieosiągalny,mtalk.google.com,0,0,0,0,2025-08-23T17:56:56.917+02:00,2025-08-23T17:56:56.917+02:00
6,10.215.173.1,52630,35.186.224.24,443,10304,Spotify,com.spotify.music,TLS,Nieosiągalny,spclient.wg.spotify.com,60,40,1,1,2025-08-23T17:56:58.682+02:00,2025-08-23T17:56:58.690+02:00
